1,Drink,ColdBrew,민트 콜드 브루,Mint Cold Brew,상쾌한 민트향 시럽과 잘게 갈린 얼음이 어우러져 시원함이 강렬하게 느껴지는 리저브만의 콜드 브루 음료,6500,1,TRUE,TRUE,FALSE
2,Drink,ColdBrew,오트 크림 스카치 콜드 브루,Oat Cream Butter Scotch Cold Brew,고소한 오트 바닐라 크림이 카라멜 & 스카치 풍미를 더한 콜드 브루에 올라가 부드럽고 은은하게 즐길 수 있는 음료,4500,2,TRUE,TRUE,FALSE
3,Drink,ColdBrew,나이트로 바닐라 크림,Nitro Vanila Cream,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,5500,3,FALSE,FALSE,FALSE
4,Drink,ColdBrew,나이트로 콜드 브루,Nitro Cold Brew,나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마! 부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.,6700,4,FALSE,FALSE,FALSE
5,Drink,ColdBrew,돌체 콜드 브루,Dolce Cold Brew,무더운 여름철. 동남아 휴가지에서 즐기는 커피를 떠오르게 하는 스타벅스 음료의 베스트 x 베스트 조합인 돌체 콜드 브루를 만나보세요!,5600,5,FALSE,FALSE,FALSE
6,Drink,ColdBrew,바닐라 크림 콜드 브루,Vanila Cream Cold Brew,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,6200,6,FALSE,FALSE,FALSE
7,Drink,ColdBrew,벨벳 다크 모카 나이트로,Velvet Dark Mocha Nitro,다크 초콜릿 모카의 진한 바디감과 함께 헤이즐넛 향과 달콤한 카라멜 크림 폼으로 벨벳같은 부드러움까지 살린 리저브 나이트로 커피,6400,7,FALSE,FALSE,FALSE
8,Drink,ColdBrew,제주 비자림 콜드 브루,Jeju Forest Cold Brew,제주 천년의 숲 비자림을 연상시키는 음료로 제주 유기농 말차와 콜드 브루가 조화로운 제주 특화 콜드 브루 음료,7000,8,FALSE,FALSE,FALSE
9,Drink,ColdBrew,콜드 브루,Cold Brew,스타벅스 바리스타의 정성으로 탄생한 콜드 브루! 콜드 브루 전용 원두를 차가운 물로 추출하여 한정된 양만 제공됩니다. 깊은 풍미의 새로운 커피 경험을 즐겨보세요.,5600,9,FALSE,FALSE,FALSE
10,Drink,Espresso,카페 아메리카노,Cafe Americano,진한 에스프레소와 물을 섞어 스타벅스의 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피,4500,10,FALSE,FALSE,TRUE
11,Drink,Espresso,토피 넛 라떼,Toffee Nut Latte,스타벅스의 겨울 시그니처 음료 버터 향이 은은하게 느껴지는 토피와 고소한 견과류의 풍미. 진한 에스프레소가 어우러진 크리스마스 시즌 음료,6100,11,TRUE,TRUE,FALSE
12,Drink,Espresso,바닐라 플랫 화이트,Vanila Flat White,바닐라 플랫 화이트는 진하고 고소한 리스트레토 샷과 바닐라 시럽 그리고 스팀 밀크로 즐기는 진한 커피 라떼 입니다.,5900,12,FALSE,FALSE,FALSE
13,Drink,Espresso,스타벅스 돌체 라떼,Starbucks Dolce Latte,스타벅스의 다른 커피 음료보다 더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼,5900,13,FALSE,FALSE,FALSE
14,Drink,Espresso,카페 모카,Caffe Mocha,진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피,5500,14,FALSE,FALSE,FALSE
